개찰일,공고번호,공고명,발주기관,용역분류,분석구분,기초금액,실제사정율,입찰범위,현행업체수,제안업체수,변경대상,현행추천1,현행추천2,제안추천1,제안추천2,제안추천3,현행최적추천,현행최적순번,제안최적추천,제안최적순번,현행오차,제안오차,현행편향,제안편향,오차개선
2024-07-17,E012406097-1,한국원자력 환경복원 연구원 7MW 신설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,241072497.0,0.3475,지역제한,2,3,True,-0.364,0.0499,-0.364,0.0499,-0.06,0.0499,2,0.0499,2,0.2976,0.2976,-0.2976,-0.2976,0.0
2024-08-22,E012407046-1,수영S/S 석대D/L 불량 관로 및 케이블 복구 강관 압입공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,113676373.0,-0.0785,지역제한,2,3,True,-0.5779,-0.1659,-0.5779,-0.1659,0.14,-0.1659,2,-0.1659,2,0.08739999999999999,0.08739999999999999,-0.08739999999999999,-0.08739999999999999,0.0
2024-12-13,E012410770-1,"김해 진례 공급촉진지구 간선설치공사(단지 내, 전기) 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,160361654.0,-0.1787,지역제한,2,3,True,-0.2002,0.0177,-0.2002,0.0177,-0.14,-0.2002,1,-0.2002,1,0.02149999999999999,0.02149999999999999,-0.02149999999999999,-0.02149999999999999,0.0
2025-01-20,E012500125-1,중앙대로 확장 지장이설공사(2차) 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,148086099.0,0.1288,지역제한,2,3,True,-0.6626,-0.0615,-0.6626,-0.0615,0.28,-0.0615,2,0.28,3,0.1903,0.15120000000000003,-0.1903,0.15120000000000003,0.03909999999999997
2025-03-18,E012501706-1,대동면 대동첨단산업단지 진입도로 지장전주 이설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,110972103.0,-0.1978,지역제한,2,3,True,-0.5804,-0.0691,-0.5804,-0.0691,0.06,-0.0691,2,-0.0691,2,0.1287,0.1287,0.1287,0.1287,0.0
2025-03-21,E012501923-1,양산 양주초 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,189969193.0,-0.0459,지역제한,2,3,True,-0.8362,-0.0916,-0.8362,-0.0916,-0.06,-0.0916,2,-0.06,3,0.0457,0.014099999999999994,-0.0457,-0.014099999999999994,0.0316
2025-03-25,E012502000-1,용연S/S 용신D/L 용량부족 해소 선로확충공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,112852986.0,0.0169,지역제한,2,3,True,-0.4598,-0.1443,-0.4598,-0.1443,-0.06,-0.1443,2,-0.06,3,0.1612,0.0769,-0.1612,-0.0769,0.08430000000000001
2025-03-26,E012502082-1,신녹산S/S#1M.Tr 증설 인출변경 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,204912400.0,0.5191,지역제한,2,3,True,-0.0193,-0.1141,-0.0193,-0.1141,-0.02,-0.0193,1,-0.0193,1,0.5384,0.5384,-0.5384,-0.5384,0.0
2025-04-03,E012502359-1,강서구 공군 지능형 전력망 수전설비 전기공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,120376518.0,-0.0269,지역제한,2,3,True,-0.4236,-0.0525,-0.4236,-0.0525,0.06,-0.0525,2,-0.0525,2,0.025599999999999998,0.025599999999999998,-0.025599999999999998,-0.025599999999999998,0.0
2025-04-07,E012502429-1,신녹산S/S#1M.Tr 증설 인출변경 책임감리용역(재공고) [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,204912400.0,-0.4882,지역제한,2,3,True,-0.0269,0.0292,-0.0269,0.0292,0.06,-0.0269,1,-0.0269,1,0.46130000000000004,0.46130000000000004,0.46130000000000004,0.46130000000000004,0.0
